Home_Goals,Away_Goals,Home_Pos,Away_Pos,Home_Shots,Away_Shots,Home_Shots_On,Away_Shots_On,Home_Fouls,Away_Fouls,Home_Off,Away_Off,Home_Corners,Away_Corners
6,0,56,44,15,12,9,4,9,13,2,1,2,2
1,0,44,56,7,9,2,4,21,10,0,6,8,2
3,1,53,47,12,20,5,9,11,4,7,5,2,9
0,3,51,49,15,15,3,7,14,9,2,3,5,4
1,1,57,43,25,6,5,4,12,9,4,1,10,4
3,1,59,41,19,4,12,2,11,8,5,0,4,2
2,0,27,73,12,9,5,2,17,14,2,0,6,7
2,0,37,63,17,8,6,0,9,12,1,1,11,1
5,0,65,35,23,5,7,2,8,5,2,1,11,2
1,1,27,73,13,11,2,6,9,11,1,3,2,5
0,1,45,55,17,10,6,6,14,9,0,1,7,2
1,0,72,28,21,8,4,2,6,6,2,2,6,3
1,1,54,46,15,10,6,4,10,9,2,0,4,2
0,0,55,45,21,5,4,0,15,10,4,0,7,0
1,3,64,36,13,8,4,4,12,14,2,1,3,1
1,1,72,28,10,5,3,2,13,6,4,3,7,1
2,1,68,32,17,9,3,1,6,9,1,5,9,5
1,1,59,41,13,15,4,3,11,8,2,0,3,8
2,1,24,76,7,12,2,4,9,7,2,5,1,8
2,2,74,26,28,6,9,4,10,9,2,4,11,3
4,2,62,38,24,15,8,6,10,5,1,1,10,1
2,1,71,29,15,19,4,2,14,12,0,1,4,7
4,0,32,68,12,11,7,7,8,6,1,6,3,7
0,1,58,42,10,10,2,5,13,10,0,0,3,4
3,0,55,45,20,4,9,0,8,10,2,0,5,1
2,1,56,44,20,7,5,3,11,11,1,2,6,5
0,0,55,45,9,12,4,3,14,9,2,8,1,7
3,0,53,47,16,9,6,1,11,6,1,0,7,10
2,0,36,64,13,13,5,1,13,15,1,0,5,6
4,3,71,29,19,9,9,3,6,8,1,3,8,3
2,1,39,61,11,7,4,2,12,11,3,2,7,6
4,3,46,54,12,16,7,6,11,10,1,0,5,9
0,3,32,68,5,12,2,4,10,9,2,2,1,4
1,2,27,73,12,14,4,5,10,8,7,1,7,10
